Genus,Species,,,Latitude,Longitude,Tissue #,ID
Sterrhoptilus,affinis,Eastern Samar,"Sitio Makasael, Barangay Guinmaayuhan, Municipality Balanguiga, Kaantulan Creek",11.2074,125.367,33030,S_nigrocapitata_33030
Sterrhoptilus,affinis,Eastern Samar,"Sitio Makasael, Barangay Guinmaayuhan, Municipality Balanguiga, Kaantulan Creek",11.2074,125.367,33060,S_nigrocapitata_33060
Sterrhoptilus,affinis,Eastern Samar,"Samar Island, Municipality Taft, Brgy. San Rafael",11.8174,125.2779,14192,S_nigrocapitata_14192
Sterrhoptilus,affinis,Eastern Samar,"Samar Island, Muncipality of Taft, Brgy. San Rafael",11.8174,125.2779,14199,S_nigrocapitata_14199
Sterrhoptilus,nigrocapitatus,Camarines Norte,"Luzon Island; Municipality Labo; Barangay Tulay na Lupa, Mt. Labo",14.039,122.786,18040,S_nigrocapitata_18040
Sterrhoptilus,nigrocapitatus,Camarines Norte,"Luzon Island; Municipality Labo; Barangay Tulay na Lupa, Mt. Labo",14.039,122.786,18034,S_nigrocapitata_18034
Sterrhoptilus,nigrocapitatus,Camarines Norte,"Luzon Island; Municipality Labo; Barangay Tulay na Lupa, Mt. Labo",14.039,122.786,18083,S_nigrocapitata_18083
Sterrhoptilus,nigrocapitatus,Bulacan,"Luzon Island, Angat Watershead",15.0333,121.2032,25550,S_nigrocapitata_25550
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Municipality of San Luis, ca. 12 km WSW of Baler",15.6851,121.3407,19648,S_dennistouni_19648
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Municipality of San Luis, ca. 12 km WSW of Baler",15.6851,121.3407,19656,S_dennistouni_19656
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Municipality of San Luis, Sitio Minoli",15.6851,121.3407,26573,S_dennistouni_26573
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20222,S_dennistouni_20222
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20224,S_dennistouni_20224
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20225,S_dennistouni_20225
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20191,S_dennistouni_20191
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20186,S_dennistouni_20186
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20201,S_dennistouni_20201
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20187,S_dennistouni_20187
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Aurora Memorial National Park",15.6851,121.3407,20188,S_dennistouni_20188
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Municipality of Maria Aurora, Barangay Villa Aurora, Sitio Damani",15.6851,121.3407,20229,S_dennistouni_20229
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Sitio Minoli",15.6851,121.3407,26579,S_dennistouni_26579
Sterrhoptilus,dennistouni,Aurora,"Luzon Island, Municipality of Baler, ASCOT campus",15.6851,121.3407,20335,S_dennistouni_20335
Sterrhoptilus,dennistouni,Nueva Vizcaya,"Luzon Island, Mt. Palali, Brgy. Maddiangat",16.46228,121.2198,21084,S_dennistouni_21084
Sterrhoptilus,dennistouni,Nueva Vizcaya,"Luzon Island, Mt. Palali, Brgy. Maddiangat",16.46228,121.2198,21112,S_dennistouni_21112
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25885,S_dennistouni_25885
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25817,S_dennistouni_25817
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25828,S_dennistouni_25828
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25846,S_dennistouni_25846
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25903,S_dennistouni_25903
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25898,S_dennistouni_25898
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25908,S_dennistouni_25908
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,25939,S_dennistouni_25939
Sterrhoptilus,dennistouni,Cagayan,"Luzon Island, Gonzaga, Mt. Cagua",18.219,122.111,26961,S_dennistouni_26961
Sterrhoptilus,dennistouni,Ilocos Norte,"Luzon Island, Adams, Mt. Cabacan",18.449,120.894,25696,S_dennistouni_25696
Sterrhoptilus,dennistouni,Ilocos Norte,"Luzon Island, Adams, Mt. Cabacan",18.449,120.894,25703,S_dennistouni_25703
Sterrhoptilus,dennistouni,Ilocos Norte,"Luzon Island, Adams, Mt. Cabacan",18.449,120.894,25702,S_dennistouni_25702
Sterrhoptilus,dennistouni,Ilocos Norte,"Luzon Island, Adams, Mt. Cabacan",18.449,120.894,25716,S_dennistouni_25716
Sterrhoptilus,dennistouni,Ilocos Norte,"Luzon Island, Adams, Mt. Cabacan",18.449,120.894,25743,S_dennistouni_25743
Sterrhoptilus,capitalis,Mindanao,"South Cotabato, Mt. Busa",6.11008,124.68575,CMNH37769,S_capitalis_CMNH37769
Sterrhoptilus,capitalis,,"Mindanao Island, City of Zamboanga, Labuyo Station, Pasonanca National Park",7.164,122.096,29959,S_capitalis_29959
Sterrhoptilus,capitalis,,"Mindanao Island, City of Zamboanga, Labuyo Station, Pasonanca National Park",7.164,122.096,29968,S_capitalis_29968
Sterrhoptilus,capitalis,,"Mindanao Island, City of Zamboanga, Labuyo Station, Pasonanca National Park",7.164,122.096,29965,S_capitalis_29965
Sterrhoptilus,capitalis,Agusan del Norte,"Mindanao Island, Mt. Hilong-Hilong",9.079,125.665,28326,S_capitalis_28326
Sterrhoptilus,capitalis,Agusan del Norte,"Mindanao Island, Mt. Hilong-Hilong",9.079,125.665,28341,S_capitalis_28341
Sterrhoptilus,capitalis,Agusan del Norte,"Mindanao Island, Mt. Hilong-Hilong",9.079,125.665,28342,S_capitalis_28342
Sterrhoptilus,capitalis,Agusan del Norte,"Mindanao Island, Mt. Hilong-Hilong",9.079,125.665,28339,S_capitalis_28339
Sterrhoptilus,capitalis,Agusan del Norte,"Mindanao Island, Mt. Hilong-Hilong",9.079,125.665,28338,S_capitalis_28338
